name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Ayman Asfari,1981,petrochemicals,new,Europe,1.9,Energy,angel,0,0,,
Ayman Hariri,1978,construction,aquired,Middle East/North Africa,1.2,Constrution,angel,0,0,,
Azim Premji,1945,software,new,South Asia,15.3,Technology-Computer,angel,0,0,,
Aziz Akhannouch,1959,oil and gas,new,Middle East/North Africa,1.4,Energy,angel,0,0,,
B. Wayne Hughes,1972,self-storage,new,North America,2.1,"Retail, Restaurant",angel,0,0,,
B.R. Shetty,1975,hospitals,new,South Asia,1,Technology-Medical,angel,0,0,,
Baba Kalyani,1961,auto components,new,South Asia,1.3,Other,angel,0,0,,
Bachtiar Karim,1932,oleochemicals and palm oil,new,East Asia,2,Non-consumer industrial,angel,0,0,,
Bahaa Hariri,1978,construction,aquired,Middle East/North Africa,2.2,Real Estate,angel,0,0,,
Barbara Carlson Gage,1938,hospitality,new,North America,4.4,Real Estate,angel,0,0,,
Barry Diller,1986,media,new,North America,2.4,Media,angel,0,0,,
Barry Lam,1988,laptops,new,East Asia,4.1,Technology-Computer,angel,0,0,,
Bassam Alghanim,1932,diversified investments,new,Middle East/North Africa,1.3,Diversified financial,angel,0,0,,
Belmiro de Azevedo,1959,retail,aquired,Europe,2.5,"Retail, Restaurant",angel,0,0,,
Benedicta Chamberlain,1887,alcohol,new,Europe,1.2,Consumer,angel,0,0,,
Benjamin de Rothschild,1953,banking,new,Europe,2,Money Management,angel,0,0,,
Bennett Dorrance,1869,soup,aquired,North America,2,Consumer,angel,0,0,,
Bent Jensen,1907,linear actuators,new,Europe,1,Technology-Computer,angel,0,0,,
Benu Gopal Bangur,1918,cement,new,South Asia,1.6,Constrution,angel,0,0,,
Beny Steinmetz,1940,diamonds,new,Middle East/North Africa,4.1,Mining and metals,angel,0,0,,
Bergit Douglas,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
Bernard (Barry) Sherman,1959,pharmaceuticals,new,North America,3.9,Technology-Medical,angel,0,0,,
Bernard Arnault,1987,luxury goods,acquired,Europe,33.5,Consumer,angel,0,0,,
Bernard Broermann,1984,hospitals,new,Europe,2.8,Technology-Medical,angel,0,0,,
Bernard Ecclestone,1978,racing,aquired,Europe,4.2,Other,angel,0,0,,
Bernard Marcus,1979,home improvement retail,new,North America,3.5,"Retail, Restaurant",angel,0,0,,
"Bernard Saul, II.",1899,mortgage banking,new,North America,2.3,Money Management,angel,0,0,,
Bernardo Matte,1920,timber and paper,new,Latin America,2.5,Consumer,angel,0,0,,
Bernd Freier,1969,fashion,new,Europe,2.5,"Retail, Restaurant",angel,0,0,,
Bertil Hult,1977,"education, language schools",new,Europe,4,Other,angel,0,0,,
Bharat Desai,1980,IT Consulting,new,North America,2.4,"Retail, Restaurant",angel,0,0,,
Bidzina Ivanishvili,1990,metals/banking,new,Europe,5.2,Diversified financial,angel,0,0,,
Bill Gates,1975, Software,new,North America,76,Technology-Computer,angel,0,0,,
Bill Gross,1971,mutual funds,new,North America,2.3,Diversified financial,angel,0,0,,
"Bill Marriott, Jr.",1927,hotels,new,North America,2.2,Real Estate,angel,0,0,,
Billy Joe (Red) McCombs,1953,"auto sales, energy",new,North America,1.4,Real Estate,angel,0,0,,
Binod Chaudhary,1970,retail,new,South Asia,1.1,Diversified financial,angel,0,0,,
Blair Parry-Okeden,1898,media,aquired,North America,7.7,Media,angel,0,0,,
Bob Parsons,1997,internet domain and web hosting,new,North America,1.9,Technology-Computer,angel,0,0,,
Boris Mints,2010,real estate,new,Europe,1,Real Estate,angel,0,0,,
Boris Rotenberg,1930,construction,"new, privitization",Europe,1.7,Constrution,angel,0,0,,
Brad Kelley,1991,tobacco,new,North America,2,Consumer,angel,0,0,,
Brian Acton,2009,software,new,North America,3,Technology-Computer,angel,0,0,,
Brian Higgins,1995,hedge funds,new,North America,1,Hedge funds,angel,0,0,,
Brian Roberts,1969,media,new,North America,1.2,Media,angel,0,0,,
Brij Bhushan Singal,1987,steel,new,South Asia,1.2,Non-consumer industrial,angel,0,0,,
Brijmohan Lall Munjal,1947,bicycles,new,South Asia,2.4,Consumer,angel,0,0,,
Bruce Cheng,1971,electronics,new,East Asia,1.3,Technology-Computer,angel,0,0,,
Bruce Halle,1960,retail,new,North America,5,Consumer,angel,0,0,,
Bruce Karsh,1995,asset management,new,North America,2,Private equity/leveraged buyout,angel,0,0,,
Bruce Kovner,1983,commodities trading,new,North America,4.8,Hedge funds,angel,0,0,,
Bruce Nordstrom,1901,retail,new,North America,1.3,"Retail, Restaurant",angel,0,0,,
Brunello Cucinelli,1978,fashion,new,Europe,1.3,Consumer,angel,0,0,,
Bruno Schroder,1800,banking,new,Europe,5.5,Money Management,angel,0,0,,
Bulat Utemuratov,1995,banking,new,South Asia,2.2,Mining and metals,angel,0,0,,
Bulent Eczacibasi,1942,pharmaceuticals,new,Middle East/North Africa,1.5,Technology-Medical,angel,0,0,,
C. Dean Metropoulos,1990,private equity,new,North America,1.3,Diversified financial,angel,0,0,,
C. James Koch,1984,beer,new,North America,1,Consumer,angel,0,0,,
Cai Dongqing,1999,animation,new,East Asia,2,Technology-Computer,angel,0,0,,
Cai Kui,1995,real estate,new,East Asia,2.3,Real Estate,angel,0,0,,
Cao Kejian,1956,air compressors,privatization,East Asia,1.6,Non-consumer industrial,angel,0,0,,
Caprotti Bernardo,1957,groceries,new,Europe,2.3,"Retail, Restaurant",angel,0,0,,
Carl Bennet,1989,investments,new,Europe,2,Diversified financial,angel,0,0,,
Carl Ferdinand Oetker,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
Carl Icahn,1968,investment (via holding company),new,North America,24.5,Diversified financial,angel,0,0,,
Carlo Fidani,1948,construction,new,North America,2,Real Estate,angel,0,0,,
Carlos Alberto Sicupira,1999,investment banking/beer,aquired,Latin America,8.9,Consumer,angel,0,0,,
Carlos and Alejandro Bulgheroni,1948,oil,new,Latin America,5.5,Energy,angel,0,0,,
Carlos Ardila Lulle,1904,soft drinks,aquired,Latin America,2.4,Consumer,angel,0,0,,
Carlos Francisco Ribeiro Jereissati,1966,shopping centers,new,Latin America,1.3,Real Estate,angel,0,0,,
Carlos Hank Rhon,1992,banking,new,Latin America,2,Money Management,angel,0,0,,
Carlos Martins,1987,education,new,Latin America,1,Other,angel,0,0,,
Carlos Rodriguez-Pastor,1994,banking,privatization,Latin America,1.8,Money Management,angel,0,0,,
Carlos Slim Helu,1990, Communications,privatization,Latin America,72,Media,angel,0,0,,
